2024-12-03T20:21:13,e4372c1e283a,fat_free_crm-web-1,0.03%,594.3MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.01%,97.63MiB / 7.425GiB 
2024-12-03T20:21:25,e4372c1e283a,fat_free_crm-web-1,0.02%,594.3MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.63MiB / 7.425GiB 
2024-12-03T20:21:38,e4372c1e283a,fat_free_crm-web-1,0.03%,594.3MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.01%,97.64MiB / 7.425GiB 
2024-12-03T20:28:23,d03d1c7c8eff,fat_free_crm-web-1,0.20%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.61MiB / 7.425GiB 
2024-12-03T20:28:36,d03d1c7c8eff,fat_free_crm-web-1,0.03%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.61MiB / 7.425GiB 
2024-12-03T20:28:49,d03d1c7c8eff,fat_free_crm-web-1,0.04%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.62MiB / 7.425GiB 
2024-12-03T20:29:01,d03d1c7c8eff,fat_free_crm-web-1,0.03%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.62MiB / 7.425GiB 
2024-12-03T20:29:14,d03d1c7c8eff,fat_free_crm-web-1,0.02%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.63MiB / 7.425GiB 
2024-12-03T20:29:26,d03d1c7c8eff,fat_free_crm-web-1,0.04%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.63MiB / 7.425GiB 
2024-12-03T20:29:39,d03d1c7c8eff,fat_free_crm-web-1,0.14%,192.2MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.65%,37.62MiB / 7.425GiB 
2024-12-03T20:29:52,d03d1c7c8eff,fat_free_crm-web-1,0.05%,192.3MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.62MiB / 7.425GiB 
2024-12-03T20:30:04,d03d1c7c8eff,fat_free_crm-web-1,0.03%,192.3MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.62MiB / 7.425GiB 
2024-12-03T20:30:17,d03d1c7c8eff,fat_free_crm-web-1,0.02%,192.3MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.01%,37.63MiB / 7.425GiB 
2024-12-03T20:30:29,d03d1c7c8eff,fat_free_crm-web-1,0.03%,192.3MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.63MiB / 7.425GiB 
2024-12-03T20:30:42,d03d1c7c8eff,fat_free_crm-web-1,0.02%,192.4MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.63MiB / 7.425GiB 
2024-12-03T20:30:55,d03d1c7c8eff,fat_free_crm-web-1,0.02%,192.4MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.63MiB / 7.425GiB 
2024-12-03T20:31:07,d03d1c7c8eff,fat_free_crm-web-1,0.09%,192.5MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,37.63MiB / 7.425GiB 
2024-12-03T20:31:20,d03d1c7c8eff,fat_free_crm-web-1,0.02%,192.5MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.28%,37.79MiB / 7.425GiB 
2024-12-03T20:31:32,d03d1c7c8eff,fat_free_crm-web-1,0.15%,192.5MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.23%,37.95MiB / 7.425GiB 
2024-12-03T20:31:45,d03d1c7c8eff,fat_free_crm-web-1,0.03%,192.5MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.27%,37.96MiB / 7.425GiB 
2024-12-03T20:31:58,d03d1c7c8eff,fat_free_crm-web-1,0.09%,192.7MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.26%,37.98MiB / 7.425GiB 
2024-12-03T20:32:10,d03d1c7c8eff,fat_free_crm-web-1,0.04%,192.6MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.95%,38MiB / 7.425GiB 
2024-12-03T20:32:23,d03d1c7c8eff,fat_free_crm-web-1,0.16%,192.6MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.01%,38.32MiB / 7.425GiB 
2024-12-03T20:32:36,d03d1c7c8eff,fat_free_crm-web-1,0.02%,192.7MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,38.32MiB / 7.425GiB 
2024-12-03T20:32:49,d03d1c7c8eff,fat_free_crm-web-1,0.06%,192.7MiB / 7.425GiB eb2681b18d4f,fat_free_crm-db-1,0.00%,38.34MiB / 7.425GiB 
2024-12-04T11:14:08,f09a7c21ca78,fat_free_crm-web-1,0.26%,345.1MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.01%,68.98MiB / 7.425GiB 
2024-12-04T11:14:20,f09a7c21ca78,fat_free_crm-web-1,0.02%,374.3MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,1.05%,69.01MiB / 7.425GiB 
2024-12-04T11:14:33,f09a7c21ca78,fat_free_crm-web-1,0.15%,382MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,68.99MiB / 7.425GiB 
2024-12-04T11:14:46,f09a7c21ca78,fat_free_crm-web-1,0.03%,382MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.00%,68.99MiB / 7.425GiB 
2024-12-04T11:14:58,f09a7c21ca78,fat_free_crm-web-1,0.02%,382MiB / 7.425GiB 22fe5314688b,fat_free_crm-db-1,0.01%,68.98MiB / 7.425GiB 
